"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"16-09-2020";"29-09-2020";31;121,8;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"16-09-2020";"29-09-2020";63;197,7;1;3,1;1;3,1
"Aalten";197;"Aalten";27121;"16-09-2020";"29-09-2020";21;77,4;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"16-09-2020";"29-09-2020";15;53,9;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"16-09-2020";"29-09-2020";75;371,9;3;14,9;1;5
"Albrandswaard";613;"Albrandswaard";25590;"16-09-2020";"29-09-2020";76;297;2;7,8;0;0
"Alkmaar";361;"Alkmaar";109436;"16-09-2020";"29-09-2020";143;130,7;2;1,8;0;0
"Almelo";141;"Almelo";73107;"16-09-2020";"29-09-2020";90;123,1;3;4,1;0;0
"Almere";34;"Almere";211893;"16-09-2020";"29-09-2020";393;185,5;6;2,8;3;1,4
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"16-09-2020";"29-09-2020";278;248,4;3;2,7;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"16-09-2020";"29-09-2020";6;58,8;0;0;0;0
"Altena";1959;"Altena";55967;"16-09-2020";"29-09-2020";50;89,3;1;1,8;0;0
"Ameland";60;"Ameland";3716;"16-09-2020";"29-09-2020";3;80,7;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"16-09-2020";"29-09-2020";290;184,4;11;7;1;0,6
"Amstelveen";362;"Amstelveen";91675;"16-09-2020";"29-09-2020";304;331,6;8;8,7;6;6,5
"Amsterdam";363;"Amsterdam";872757;"16-09-2020";"29-09-2020";4441;508,8;62;7,1;6;0,7
"Apeldoorn";200;"Apeldoorn";163818;"16-09-2020";"29-09-2020";212;129,4;5;3,1;1;0,6
"Appingedam";3;"Appingedam";11642;"16-09-2020";"29-09-2020";8;68,7;0;0;0;0
"Arnhem";202;"Arnhem";161348;"16-09-2020";"29-09-2020";244;151,2;4;2,5;1;0,6
"Assen";106;"Assen";68599;"16-09-2020";"29-09-2020";66;96,2;0;0;0;0
"Asten";743;"Asten";16721;"16-09-2020";"29-09-2020";7;41,9;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"16-09-2020";"29-09-2020";10;145,8;0;0;0;0
"Baarn";308;"Baarn";24868;"16-09-2020";"29-09-2020";30;120,6;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"16-09-2020";"29-09-2020";201;412,6;2;4,1;0;0
"Barneveld";203;"Barneveld";59082;"16-09-2020";"29-09-2020";48;81,2;0;0;0;0
"Beek";888;"Beek";15865;"16-09-2020";"29-09-2020";6;37,8;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"16-09-2020";"29-09-2020";25;69,6;1;2,8;0;0
"Beemster";370;"Beemster";10022;"16-09-2020";"29-09-2020";10;99,8;0;0;0;0
"Beesel";889;"Beesel";13482;"16-09-2020";"29-09-2020";7;51,9;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"16-09-2020";"29-09-2020";67;191,5;0;0;3;8,6
"Bergeijk";1724;"Bergeijk";18635;"16-09-2020";"29-09-2020";60;322;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"16-09-2020";"29-09-2020";17;129,9;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"16-09-2020";"29-09-2020";79;264,8;3;10,1;1;3,4
"Bergen op Zoom";748;"Bergen op Zoom";67496;"16-09-2020";"29-09-2020";154;228,2;3;4,4;0;0
"Berkelland";1859;"Berkelland";43747;"16-09-2020";"29-09-2020";50;114,3;1;2,3;0;0
"Bernheze";1721;"Bernheze";31240;"16-09-2020";"29-09-2020";32;102,4;0;0;0;0
"Best";753;"Best";29988;"16-09-2020";"29-09-2020";28;93,4;0;0;1;3,3
"Beuningen";209;"Beuningen";25890;"16-09-2020";"29-09-2020";57;220,2;0;0;0;0
"Beverwijk";375;"Beverwijk";41626;"16-09-2020";"29-09-2020";83;199,4;1;2,4;2;4,8
"Bladel";1728;"Bladel";20390;"16-09-2020";"29-09-2020";93;456,1;0;0;1;4,9
"Blaricum";376;"Blaricum";11540;"16-09-2020";"29-09-2020";18;156;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"16-09-2020";"29-09-2020";55;233,3;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"16-09-2020";"29-09-2020";86;246,6;1;2,9;6;17,2
"Boekel";755;"Boekel";10785;"16-09-2020";"29-09-2020";5;46,4;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"16-09-2020";"29-09-2020";27;105,6;0;0;0;0
"Borne";147;"Borne";23312;"16-09-2020";"29-09-2020";13;55,8;0;0;0;0
"Borsele";654;"Borsele";22739;"16-09-2020";"29-09-2020";16;70,4;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"16-09-2020";"29-09-2020";40;136,2;0;0;1;3,4
"Boxtel";757;"Boxtel";30801;"16-09-2020";"29-09-2020";20;64,9;0;0;0;0
"Breda";758;"Breda";184069;"16-09-2020";"29-09-2020";285;154,8;5;2,7;0;0
"Brielle";501;"Brielle";17271;"16-09-2020";"29-09-2020";31;179,5;0;0;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"16-09-2020";"29-09-2020";24;66,6;0;0;0;0
